4.148,high
4.179,high
2.462,medium
4.121,high
2.356,medium
4.507,high
4.12,high
2.582,medium
4.135,high
2.182,medium
4.095,high
1.856,low
2.492,medium
2.709,low
2.168,medium
2.492,medium
4.113,high
2.135,medium
2.554,medium
2.446,medium
2.097,low
4.099,high
4.234,high
2.158,low
4.351,high
2.389,medium
1.951,low
1.915,low
1.937,low
4.643,high
1.971,low
4.181,high
4.31,high
1.853,low
1.838,low
1.99,low
2.292,medium
2.346,medium
2.417,medium
4.394,high
2.16,medium
2.177,medium
2.31,low
1.917,low
1.881,low
1.799,low
4.079,high
1.979,low
4.257,high
1.947,low
1.938,low
2.283,medium
4.104,high
2.523,medium
2.315,low
4.213,high
1.977,low
2.104,low
2.302,medium
4.313,high
2.5,medium
2.516,medium
2.661,medium
2.39,medium
2.409,medium
2.437,medium
2.357,medium
4.406,high
4.076,high
4.711,high
4.507,high
4.12,high
1.858,low
4.113,high
2.317,medium
1.86,low
2.26,medium
1.959,low
4.352,high
1.946,low
2.06,low
1.923,low
4.066,high
2.219,medium
4.887,high
2.339,medium
2.678,medium
2.502,medium
2.733,medium
4.216,high
2.259,low
2.157,medium
4.105,high
2.05,low
2.648,medium
2.153,low
1.984,low
1.938,low
2.542,medium
4.256,high
4.412,high
2.086,low
2.595,medium
4.225,high
4.129,high
1.809,low
1.972,low
4.383,high
2.037,low
2.668,medium
2.315,medium
2.401,medium
2.141,low
1.933,low
1.92,low
2.146,low
2.142,low
2.316,medium
2.347,medium
2.351,medium
2.072,low
2.28,medium
1.966,low
4.259,high
2.284,medium
1.831,low
1.795,low
2.128,low
4.223,high
1.843,low
1.817,low
2.339,low
4.073,high
4.336,high
2.363,medium
2.334,medium
4.394,high
1.874,low
2.149,medium
2.698,medium
2.274,medium
2.348,medium
2.328,medium
2.102,low
4.076,high
2.365,medium
2.249,medium
2.003,low
2.344,medium
1.882,low
2.348,medium
2.45,medium
4.233,high
4.186,high
4.084,high
2.053,low
2.756,medium
2.091,low
2.081,low
1.909,low
4.081,high
1.927,low
4.014,high
4.23,high
2.786,medium
2.311,medium
4.307,high
2.585,medium
2.796,medium
1.893,low
4.455,high
4.121,high
2.07,low
2.352,low
2.136,low
2.453,medium
1.842,low
2.372,medium
2.096,low
2.249,medium
1.908,low
2.28,medium
2.281,low
4.128,high
1.957,low
2.232,medium
2.096,low
1.986,low
1.908,low
1.866,low
1.95,low
2.602,medium
2.03,low
4.183,high
1.864,low
1.938,low
1.91,low
4.229,high
2.098,low
2.422,medium
2.61,medium
2.299,low
1.863,low
2.058,low
2.364,low
2.402,low
2.409,medium
2.489,low
2.363,medium
2.441,medium
2.281,medium
2.721,medium
4.036,high
1.92,low
2.004,low
1.867,low
1.919,low
4.124,high
2.059,low
1.95,low
2.295,low
2.672,medium
2.252,medium
1.991,low
2.209,low
2.144,low
2.244,medium
2.044,low
1.985,low
2.708,medium
4.145,high
2.525,medium
1.834,low
2.569,medium
1.845,low
1.926,low
4.081,high
2.552,medium
2.282,medium
2.692,medium
1.937,low
4.588,high
2.015,low
4.213,high
2.622,medium
4.029,high
2.21,low
2.518,medium
2.106,low
4.39,high
2.456,medium
4.375,high
2.189,medium
1.998,low
2.059,low
2.004,low
2.151,low
2.447,low
2.35,medium
2.385,medium
4.238,high
2.573,medium
2.834,medium
2.536,medium
4.116,high
4.366,high
4.185,high
2.52,medium
1.905,low
2.751,medium
2.293,medium
2.487,medium
2.036,low
4.205,high
2.349,medium
2.218,low
4.131,high
2.291,medium
1.871,low
2.178,medium
4.24,high
1.865,low
2.27,low
4.114,high
2.455,medium
4.143,high
4.365,high
1.877,low
2.252,medium
1.867,low
1.897,low
2.245,medium
4.267,high
2.427,medium
3.987,high
4.094,high
2.409,medium
4.571,high
4.116,high
1.934,low
1.872,low
2.34,medium
2.648,medium
1.905,low
2.643,medium
1.889,low
5.118,high
2.387,medium
1.945,low
4.633,high
4.319,high
1.794,low
4.343,high
4.047,high
2.141,low
2.623,medium
4.236,high
4.157,high
2.37,medium
1.993,low
1.873,low
1.838,low
2.033,low
1.838,low
4.256,high
4.071,high
2.019,low
4.373,high
2.277,medium
2.517,medium
2.754,medium
2.577,medium
2.236,medium
1.951,low
2.449,medium
2.344,medium
2.34,medium
2.123,low
4.253,high
2.152,low
2.713,medium
2.109,low
4.142,high
2.135,medium
1.815,low
1.941,low
2.277,medium
2.353,medium
2.443,medium
1.832,low
4.122,high
2.498,low
1.943,low
1.911,low
2.402,medium
2.43,medium
1.891,low
2.258,medium
1.806,low
2.563,medium
4.393,high
2.814,medium
2.381,medium
2.314,medium
4.168,high
2.254,low
1.983,low
2.189,medium
2.652,medium
2.635,medium
2.38,medium
2.039,low
1.885,low
2.051,low
4.593,high
1.862,low
4.179,high
2.482,medium
2.872,medium
2.215,medium
4.541,high
2.016,low
1.982,low
1.929,low
2.403,medium
2.165,medium
2.079,low
2.504,medium
2.15,low
2.231,medium
4.161,high
3.141,medium
4.179,high
2.199,medium
2.477,low
1.866,low
2.257,medium
1.911,low
4.453,high
2.323,low
1.976,low
2.296,medium
2.078,low
4.281,high
4.485,high
2.191,medium
1.915,low
1.78,low
1.955,low
1.826,low
4.323,high
5.801,medium
2.263,medium
1.868,low
2.206,low
2.006,low
2.434,medium
2.161,low
